"filename", "language", "Python", "comment", "blank", "total"
"e:\Deeponomics\src\__init__.py", "Python", 0, 0, 1, 1
"e:\Deeponomics\src\crud.py", "Python", 398, 36, 81, 515
"e:\Deeponomics\src\database.py", "Python", 17, 0, 5, 22
"e:\Deeponomics\src\gui\ceo_widget.py", "Python", 62, 7, 12, 81
"e:\Deeponomics\src\gui\main_window.py", "Python", 72, 2, 13, 87
"e:\Deeponomics\src\gui\market_data_widget.py", "Python", 57, 3, 11, 71
"e:\Deeponomics\src\gui\portfolio_widget.py", "Python", 66, 3, 11, 80
"e:\Deeponomics\src\gui\trading_widget.py", "Python", 177, 5, 30, 212
"e:\Deeponomics\src\gui_main.py", "Python", 10, 1, 2, 13
"e:\Deeponomics\src\main.py", "Python", 184, 4, 28, 216
"e:\Deeponomics\src\models.py", "Python", 96, 8, 26, 130
"e:\Deeponomics\src\schemas.py", "Python", 53, 2, 15, 70
"e:\Deeponomics\src\services\order_matching.py", "Python", 234, 13, 53, 300
"Total", "-", 1426, 84, 288, 1798
